,SO2,H2S,Temp_C,Humidity_pct,RSSI_dBm,SNR_dB,hour_sin,hour_cos,meteo_modifier,is_night,is_high_humidity,node_modifier,SO2_normalized,H2S_normalized,CHI,SO2_H2S_ratio,SO2_rolling_mean_10min,SO2_rolling_std_10min,SO2_rolling_max_10min,H2S_rolling_mean_10min,H2S_rolling_std_10min,H2S_rolling_max_10min,SO2_rate_of_change,H2S_rate_of_change,SO2_cumulative_4hour,H2S_cumulative_4hour,dispersion_index
count,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0,43201.0
mean,0.26717755001869764,0.10216458063564561,19.091078244867017,91.05086901699035,-79.22017454114487,10.003665132885812,5.991042918023148e-06,-2.235887656053848e-05,0.6008705354042732,0.4166570218281984,0.7193352005740608,0.949998842619384,0.26717755001869764,0.20432916127129122,0.2216052783926059,1.864378034402715,0.2671720657014972,0.021182121588139032,0.3110400802518934,0.10216150853365119,0.008136577931688932,0.1189794204629049,-2.460100923589624e-07,5.696386426238409e-07,1611.3158786235765,614.0698061955362,0.4474565491504826
std,0.2850293950609275,0.09656886540954758,3.4141788600221523,13.612628713597308,15.022960575046223,2.379113428171487,0.707107877622649,0.7071220524183337,0.12766326918387946,0.4930107242629217,0.4493292147375663,0.0500005786869593,0.2850293950609275,0.19313773081909516,0.22825732095749707,1.006654239777928,0.2833865953703837,0.022741653134980545,0.32985841690820145,0.09593939282881643,0.007737616734177534,0.11190778121384534,0.04384013007852371,0.01593574394295135,1897.388654124949,659.3374445131049,0.6806314356798654
min,0.0,4.6142205e-06,10.992024,45.238358,-135.06787,3.5593686,-1.0,-1.0,0.4479999999999999,0.0,0.0,0.9,0.0,9.228441e-06,2.7685323e-06,0.0,0.0,0.0,0.0,5.5828577100000005e-06,0.0,6.5563596e-06,-0.3068170000000001,-0.11328196,0.022511225,0.014252229,-1.8208479999999996
25%,0.023724037,0.016312449,16.658306,83.26609,-83.3908,9.430569,-0.7071067811865471,-0.7071067811865479,0.4479999999999999,0.0,0.0,0.9,0.023724037,0.032624898,0.0269509673999999,0.9921043148942916,0.0247851046666666,0.0017984178832246,0.028376162,0.0157039263166666,0.0013435544709904,0.018420729,-0.00627832,-0.0037238389999999,46.71628350742997,47.84435847574847,-0.0368457999999993
50%,0.21354579,0.079688965,18.219706,93.40622,-74.48894,10.660614,1.2246467991473532e-16,-1.8369701987210287e-16,0.6400000000000001,0.0,1.0,0.9,0.21354579,0.15937793,0.187650084,2.1058588456278704,0.2703818466666666,0.0124167853060915,0.29925497,0.1099061392,0.00590868917395,0.122506485,0.0,-2.0576799999999978e-07,354.19835378,272.7724304569999,0.3296889999999997
75%,0.42047345,0.15109698,20.718094,100.736916,-69.115906,11.533943,0.7071067811865476,0.7071067811865474,0.6400000000000001,1.0,1.0,1.0,0.42047345,0.30219396,0.338542782,2.702866036939914,0.4035703396666666,0.0340575559529151,0.4733196699999999,0.1429686786666666,0.0124525173081719,0.16886115,0.006170015,0.0037084600000001,2631.24427694,1017.6326843,0.8366954999999998
max,1.128182,0.3890798,33.66915,136.41696,-46.420494,16.347216,1.0,1.0,0.8,1.0,1.0,1.0,1.128182,0.7781596,0.8663474819999999,4.769164134776227,0.9363281363333332,0.0993366935296575,1.128182,0.3233450286666667,0.0352770959507294,0.3890798,0.3445412,0.1148572999999999,5602.32705826,1968.82942094,2.7380821
